AccX [mg],AccY [mg],AccZ [mg],State
337,-397,826,0
6,-536,1112,0
-25,-759,981,0
-363,-602,963,0
-78,-547,666,0
69,-425,664,0
231,-495,987,0
10,-751,1205,0
-169,-834,1008,0
-182,-819,644,0
-7,-675,526,0
98,-460,769,0
183,-517,937,0
187,-663,864,0
10,-839,712,0
-19,-952,603,0
-103,-896,681,0
-27,-830,660,0
124,-539,752,0
110,-735,633,0
50,-719,825,0
82,-417,599,0
-18,-121,343,0
117,-222,-45,0
140,-492,337,0
-243,-580,329,0
-1049,-636,438,0
-459,-586,-186,0
-731,-1045,-200,0
-1170,-1866,-497,0
-490,-1234,-447,0
-608,-1517,-656,0
-236,-987,35,0
-388,-979,-45,0
-666,-1155,-272,0
-687,-1037,-253,0
-376,-739,-145,0
-355,-614,-132,0
-271,-521,-121,0
-311,-564,-146,0
-535,-822,-276,0
-639,-901,-283,0
-532,-843,-205,0
-365,-947,-237,0
-339,-1168,-290,0
-767,-1530,-305,0
-873,-1461,-309,0
-883,-1402,-415,0
-867,-1313,-457,0
-776,-1099,-448,0
-629,-923,-386,0
-391,-799,-181,0
-407,-1016,-291,0
-668,-1226,-378,0
-734,-1209,-334,0
-663,-1115,-312,0
-533,-971,-282,0
-505,-861,-281,0
-516,-738,-279,0
-412,-543,-232,0
-328,-414,-185,0
-307,-410,-183,0
-361,-547,-223,0
-438,-795,-277,0
-544,-1134,-344,0
-423,-1128,-215,0
-548,-1307,-289,0
-795,-1457,-372,0
-768,-1232,-375,0
-406,-665,-215,0
-329,-529,-167,0
-248,-454,-158,0
-216,-354,-140,0
-268,-535,-238,0
-300,-807,-150,0
-651,-1786,-388,0
-1168,-1998,-295,0
-1908,-1998,-1104,0
-999,-1716,-512,0
-592,-944,-311,0
-274,-603,-158,0
-202,-604,-145,0
-207,-610,-153,0
-87,-539,-54,0
-73,-461,-4,0
-247,-635,-126,0
-342,-876,-191,0
-578,-1439,-372,0
-1444,-1998,-858,0
-1571,-1998,-790,0
-863,-1998,-440,0
-866,-1998,-406,0
-588,-1398,-288,0
-571,-1131,-292,0
-486,-983,-256,0
-531,-1083,-279,0
-582,-1373,-311,0
-724,-1971,-343,0
-1166,-1998,-508,0
-1211,-1998,-669,0
